database/_name,database/__text,source-app/_name,source-app/__text,ref-type/_name,ref-type/__text,contributors/authors/author/0,contributors/authors/author/1,contributors/authors/author/2,contributors/authors/author/3,contributors/authors/author/4,contributors/authors/author/5,titles/title,periodical/full-title,pages,dates/year,dates/pub-dates/date,publisher,remote-database-name,urls/pdf-urls/url/0,urls/text-urls/url/0,custom3,contributors/authors/author/6,titles/secondary-title,volume,number,issue,titles/short-title,urls/text-urls/url/1,research-notes,custom2,contributors/authors/author/7,contributors/authors/author/8,contributors/authors/author/9,work-type,misc2,keywords/keyword/0,keywords/keyword/1,keywords/keyword/2,keywords/keyword/3,keywords/keyword/4,keywords/keyword/5,keywords/keyword/6,keywords/keyword/7,keywords/keyword/8,keywords/keyword/9,keywords/keyword/10,keywords/keyword/11,keywords/keyword/12,keywords/keyword/13,keywords/keyword/14,keywords/keyword/15,keywords/keyword/16,keywords/keyword/17,keywords/keyword/18,keywords/keyword/19,keywords/keyword/20,keywords/keyword/21,keywords/keyword/22,keywords/keyword/23,keywords/keyword/24,keywords/keyword/25,keywords/keyword/26,keywords/keyword/27,keywords/keyword/28,electronic-resource-num,abstract,keywords/keyword/29,keywords/keyword/30,keywords/keyword/31,keywords/keyword/32,keywords/keyword/33,keywords/keyword/34,keywords/keyword/35,keywords/keyword/36,keywords/keyword/37,keywords/keyword/38,keywords/keyword/39,keywords/keyword/40,keywords/keyword/41,keywords/keyword/42,urls/web-urls/url/0,access-date,isbn,custom1,misc1,language,contributors/authors/author/10,periodical/abbr-1,contributors/secondary-authors/author/0,contributors/secondary-authors/author/1,titles/tertiary-title,pub-location,keywords/keyword/43,keywords/keyword/44,contributors/secondary-authors/author/2,contributors/secondary-authors/author/3,contributors/secondary-authors/author/4,contributors/secondary-authors/author/5,contributors/secondary-authors/author/6,contributors/secondary-authors/author/7,contributors/secondary-authors/author/8,contributors/secondary-authors/author/9,contributors/secondary-authors/author/10,contributors/secondary-authors/author/11,contributors/authors/author/11,contributors/authors/author/12,contributors/authors/author/13,contributors/authors/author/14,contributors/authors/author/15,contributors/authors/author/16,contributors/authors/author/17,contributors/authors/author/18,contributors/authors/author/19,contributors/authors/author/20,contributors/authors/author/21,contributors/authors/author/22,contributors/authors/author/23,contributors/tertiary-authors/author/0
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Mei, Yongguo","Lu, Yung-Hsiang","Lee, CS George","Hu, Y. Charlie",,,Energy-efficient mobile robot exploration,"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.",505–511,2006,2006,IEEE,Google Scholar,C:\Users\StanS\Zotero\storage\W84IWDCM\Mei et al. - 2006 - Energy-efficient mobile robot exploration.pdf,C:\Users\StanS\Zotero\storage\26TFJ7IX\1641761.html,"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Ngo, Trung Dung","Schiøler, Henrik",,,,,Truly autonomous robots: hardware design for an energy trophallactic robot,Artificial Life and Robotics,335–345,2008,2008,,Google Scholar,C:\Users\StanS\Zotero\storage\CG7ILYYC\Ngo and Schiøler - 2008 - Truly autonomous robots hardware design for an en.pdf,C:\Users\StanS\Zotero\storage\9APZQUWV\s10015-007-0495-z.html,,,Artificial Life and Robotics,12,1-2,1-2,Truly autonomous robots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Wang, Binhai","Chen, Xiguang","Wang, Qian","Liu, Liang","Zhang, Hailong","Li, Bingqiang",Power line inspection with a flying robot,2010 1st International Conference on Applied Robotics for the Power Industry,1–6,2010,2010,Ieee,Google Scholar,,C:\Users\StanS\Zotero\storage\GAS7AR22\5624430.html,2010 1st International Conference on Applied Robotics for the Power Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Katrasnik, Jaka","Pernus, Franjo","Likar, Bostjan",,,,New robot for power line inspection,"2008 IEEE Conference on Robotics, Automation and Mechatronics",1195–1200,2008,2008,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\E8LY9Y28\4681335.html,"2008 IEEE Conference on Robotics, Automation and Mechatronics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Han, Jun","Asada, Akira","Ura, Tamaki","Yamauchi, Yukinaga","Yagita, Yasunobu","Maki, Toshihiko",Noncontact power supply for seafloor geodetic observing robot system,Journal of marine science and technology,183–189,2007,2007,,Google Scholar,,C:\Users\StanS\Zotero\storage\A77W588Z\s00773-006-0235-4.html,,,Journal of marine science and technology,12,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Dong, Pengfei","Wang, Xuezhu","Xing, Hongjun","Liu, Yiqun","Zhang, Meiling",,Design and control of a tracked robot for search and rescue in nuclear power plant,2016 International Conference on Advanced Robotics and Mechatronics (ICARM),330–335,2016,2016,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\RTBUC5RC\7606941.html,2016 International Conference on Advanced Robotics and Mechatronics (ICARM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Li, Zheng","Ruan, Yi",,,,,Autonomous inspection robot for power transmission lines maintenance while operating on the overhead ground wires,International Journal of Advanced Robotic Systems,25,2010,2010,,Google Scholar,,C:\Users\StanS\Zotero\storage\CGATMALK\10497.html,,,International Journal of Advanced Robotic Systems,7,4,4,,C:\Users\StanS\Zotero\storage\B3QK8MWV\10497.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"CAI, Gai-pin","HUANG, Zhi-qing",,,,,The Realization of the Industrial Revolving Tubular Kiln Liner Cleaning Robot System Dynamic Simulation by Power Bonding Diagram and SIMULINK Software [J],Machine Tool & Hydraulics,,2005,2005,,Google Scholar,,C:\Users\StanS\Zotero\storage\4DZ3URLR\CJFDTotal-JCYY20050201D.html,,,Machine Tool & Hydraulics,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Riazi, Sarmad","Wigström, Oskar","Bengtsson, Kristofer","Lennartson, Bengt",,,Energy and peak power optimization of time-bounded robot trajectories,IEEE Transactions on Automation Science and Engineering,646–657,2017,2017,,Google Scholar,,C:\Users\StanS\Zotero\storage\KGAY3ANM\7831386.html,,,IEEE Transactions on Automation Science and Engineering,14,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Du, Zhihui","He, Ligang","Chen, Yinong","Xiao, Yu","Gao, Peng","Wang, Tongzhou",Robot Cloud: Bridging the power of robotics and cloud computing,Future Generation Computer Systems,337–348,2017,2017,,Google Scholar,,C:\Users\StanS\Zotero\storage\TVS7HXUM\S0167739X16000042.html,,,Future Generation Computer Systems,74,,,Robot Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Book Section,5,"LIMA, JOSÉ L.","GONÇALVES, JOSÉ C.","COSTA, PAULO J.","MOREIRA, A. PAULO",,,Realistic humanoid robot simulation with an optimized controller: a power consumption minimization approach,Advances In Mobile Robotics,1242–1249,2008,2008,World Scientific,Google Scholar,C:\Users\StanS\Zotero\storage\PQQWQYSU\LIMA et al. - 2008 - Realistic humanoid robot simulation with an optimi.pdf,C:\Users\StanS\Zotero\storage\Y85IVC8J\9789812835772_0150.html,,,Advances In Mobile Robotics,,,,Realistic humanoid robot simulation with an optimized controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Bach, Fr-W.","Rachkov, M.","Seevers, J.","Hahn, M.",,,High tractive power wall-climbing robot,Automation in construction,213–224,1995,1995,,Google Scholar,,C:\Users\StanS\Zotero\storage\CX29EJAW\092658059500005L.html,,,Automation in construction,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Patent,25,"Embon, Lisandro","Hazan, Moshe","Madvil, Rahav",,,,Energy and cycle time efficiency based method for robot positioning,,,2015,oct 1 2015,,,C:\Users\StanS\Zotero\storage\4TKJD2U7\Embon et al. - 2015 - Energy and cycle time efficiency based method for .pdf,C:\Users\StanS\Zotero\storage\8MLENWVY\en.html,,,,,,,,,"US Patent App. 14/226,371",oct 1 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Mohammed, Abdullah","Schmidt, Bernard","Wang, Lihui","Gao, Liang",,,Minimizing energy consumption for robot arm movement,Procedia CIRP,400–405,2014,2014,,Google Scholar,C:\Users\StanS\Zotero\storage\V7SKQNPW\Mohammed et al. - 2014 - Minimizing energy consumption for robot arm moveme.pdf,,,,Procedia CIRP,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Ramos, Ernesto Zamora","Ramos, Maria","Moutafis, Konstantinos","Yfantis, Evangelos A.",,,Robot-Server Architecture for Optimizing Solar Panel Power Output,Transactions on Machine Learning and Artificial Intelligence,09–09,2016,2016,,Google Scholar,,C:\Users\StanS\Zotero\storage\62D4TCC9\2141.html,,,Transactions on Machine Learning and Artificial Intelligence,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Orin, David E.","McGhee, Robert B.","Jaswa, V. C.",,,,"Interactive compute-control of a six-legged robot vehicle with optimization of stability, terrain adaptibility and energy",1976 IEEE Conference on Decision and Control including the 15th Symposium on Adaptive Processes,382–391,1976,1976,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\E3ZC239B\4045623.html,1976 IEEE Conference on Decision and Control including the 15th Symposium on Adaptive Processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Bailón, W. Pérez","Cardiel, E. Barrera","Campos, I. Juárez","Paz, A. Ramos",,,Mechanical energy optimization in trajectory planning for six DOF robot manipulators based on eighth-degree polynomial functions and a genetic algorithm,2010 7th International Conference on Electrical Engineering Computing Science and Automatic Control,446–451,2010,2010,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\VY2NSPVE\5608583.html,2010 7th International Conference on Electrical Engineering Computing Science and Automatic Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Gemeinder, Marcus","Gerke, Michael",,,,,GA-based search for paths with minimum energy consumption for mobile robot systems,International Conference on Computational Intelligence,599–607,2001,2001,Springer,Google Scholar,,C:\Users\StanS\Zotero\storage\8G8JHHA5\3-540-45493-4_60.html,International Conference on Computational Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Kiguchi, Kazuo","Hayashi, Yoshiaki",,,,,An EMG-based control for an upper-limb power-assist exoskeleton robot,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",1064–1071,2012,2012,,Google Scholar,,C:\Users\StanS\Zotero\storage\MMHCEQ2V\6151182.html,,,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",42,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Lima, Eduardo José","Bomfim, Marcelo Henrique Souza","de Miranda Mourão, Miguel Augusto",,,,POLIBOT–POwer Lines Inspection RoBOT,Industrial Robot: An International Journal,,2018,2018,,Google Scholar,,C:\Users\StanS\Zotero\storage\QFHDFV6K\html.html,,,Industrial Robot: An International Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"YANG, Qi-zhi","YIN, Xiao-gin","MA, Lu-zhong","DU, Sheng-chao",,,Establishing stiffness of prismatic pair in fully compliant parallel micro-robot using energy method [J],Journal of Jiangsu University (National Science Edition),,2005,2005,,Google Scholar,,C:\Users\StanS\Zotero\storage\BTJX5XZJ\CJFDTotal-JSLG200501006.html,,,Journal of Jiangsu University (National Science Edition),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Fenucci, Alba","Indri, Marina","Romanelli, Fabrizio",,,,An off-line robot motion planning approach for the reduction of the energy consumption,2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),1–8,2016,2016,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\9M969INL\7733595.html,2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Minakata, Hideaki","Seki, Hirokazu","Tadakuma, Susumu",,,,A study of energy-saving shoes for robot considering lateral plane motion,IEEE Transactions on Industrial Electronics,1271–1276,2008,2008,,Google Scholar,,C:\Users\StanS\Zotero\storage\A3KB23IL\4459833.html,,,IEEE Transactions on Industrial Electronics,55,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Sun, Cuilian","Wang, Hongguang","Zhao, Mingyang","Liu, Hongjun",,,3D simulation and optimization design of a mobile inspection robot for power transmission lines,2006 6th World Congress on Intelligent Control and Automation,8986–8991,2006,2006,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\X24DHGZA\1713738.html,2006 6th World Congress on Intelligent Control and Automation,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Luo, R. C.","Su, K. L.","Deng, C. W.",,,,Multisensor based power diagnosis system for an intelligent robot,IECON'03. 29th Annual Conference of the IEEE Industrial Electronics Society (IEEE Cat. No. 03CH37468),2500–2505,2003,2003,IEEE,Google Scholar,,C:\Users\StanS\Zotero\storage\5VZC3VZR\1280638.html,IECON'03. 29th Annual Conference of the IEEE Industrial Electronics Society (IEEE Cat. No. 03CH37468),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Mostashfi, A.","Fakhari, A.","Badri, Mohammad Ali",,,,A novel design of inspection robot for high-voltage power lines,Industrial Robot: An International Journal,,2014,2014,,Google Scholar,C:\Users\StanS\Zotero\storage\QJNSQUM3\Mostashfi et al. - 2014 - A novel design of inspection robot for high-voltag.pdf,C:\Users\StanS\Zotero\storage\LQWWLV8M\html.html,,,Industrial Robot: An International Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
