,Title,Item Type,Publication Year,Author
35,An Example of Open Robot Controller Architecture-For Power Distribution Line Maintenance Robot System,journalArticle,2008.0,"He, Yingxin; Tatsuno, Kyouichi"
36,An off-line robot motion planning approach for the reduction of the energy consumption,conferencePaper,2016.0,"Fenucci, Alba; Indri, Marina; Romanelli, Fabrizio"
37,Embedding detailed robot energy optimization into high-level scheduling,conferencePaper,2010.0,"Vergnano, Alberto; Thorstensson, Carl; Lennartson, Bengt; Falkman, Petter; Pellicciari, Marcello; Yuan, Chengyin; Biller, Stephan; Leali, Francesco"
38,3D simulation and optimization design of a mobile inspection robot for power transmission lines,conferencePaper,2006.0,"Sun, Cuilian; Wang, Hongguang; Zhao, Mingyang; Liu, Hongjun"
39,Energy and cycle time efficiency based method for robot positioning,patent,2018.0,"Embon, Lisandro; Hazan, Moshe; Madvil, Rahav"
40,Minimising energy consumption for robot arm movement,journalArticle,2013.0,"Schmidt, Bernard; Mohammed, Abdullah; Wang, Lihui"
41,"Design and control of Ranger: an energy-efficient, dynamic walking robot",bookSection,2012.0,"Bhounsule, Pranav A.; Cortell, Jason; Ruina, Andy"
42,Wireless power transfer for electric vehicle using an adaptive robot,journalArticle,2017.0,"Barzegaran, M. R.; Zargarzadeh, Hassan; Mohammed, O. A."
43,Design of a small and low-cost power management unit for a cockroach-like running robot,conferencePaper,2005.0,"Lespérance, Éric; Desbiens, Alexis Lussier; Roux, M.-A.; Lavoie, M.-A.; Fauteux, Philippe"
44,MACCEPA 2.0: compliant actuator used for energy efficient hopping robot Chobino1D,journalArticle,2011.0,"Vanderborght, Bram; Tsagarakis, Nikos G.; Van Ham, Ronald; Thorson, Ivar; Caldwell, Darwin G."
45,A study on power-assisted rehabilitation robot arms operated by patient with upper limb disabilities,conferencePaper,2009.0,"Umemura, Atushi; Saito, Yukio; Fujisaki, Koichi"
46,Computer graphics simulator for a power distribution line maintenance robot,conferencePaper,2006.0,"Tsukahara, Kiyoshi; Tanaka, Yorihiko; Sawa, Kazuhide; He, Yingxin; Tatematsu, Hiroki; Kaji, Yoshihiro; Tatsuno, Kyouichi"
47,Research and Design of Electromagnetic Navigation System of Power Transmission Line Inspection Robot [J],journalArticle,2008.0,"Zhou, W. U.; Yan-jun, FANG"
48,Minimal energy control of a biped robot with numerical methods and a recursive symbolic dynamic model,conferencePaper,1998.0,"Hardt, Michael; Kreutz-Delgado, Kenneth; Helton, J. William"
49,Autonomous android controlled robot design using wireless energy,journalArticle,2015.0,"Begum, N. Firthous; Vignesh, P."
50,Design and navigation prospective for wireless power transmission robot,conferencePaper,2015.0,"Shidujaman, Mohammad; Rodriguez, Lenis Tejada; Samani, Hooman"
51,Robot vac with retractable power cord,patent,2004.0,"Taylor, Charles; Parker, Andrew; Lau, Shek Fai; Blair, Eric; Heninger, Andrew; Ng, Eric"
52,Robot battery charging apparatuses and methods,patent,2012.0,"Ota, Yasuhiro"
53,Energy preserving control of a hopping robot based on hybrid port-controlled Hamiltonian modeling,conferencePaper,2003.0,"Ishikawa, Masato; Neki, Atsushi; Imura, Jun-ichi; Hara, Shinji"
54,ROCR: An energy-efficient dynamic wall-climbing robot,journalArticle,2010.0,"Provancher, William R.; Jensen-Segal, Samuel I.; Fehlberg, Mark A."
55,The pc-based graphic-user interface of the power management system on the security robot,journalArticle,2007.0,"Wang, Ching-Kuo; Huang, Han-Pang; Chen, Sheng"
56,Autonomous robot auto-docking and energy management systems and methods,patent,2008.0,"Cohen, David A.; Ozick, Daniel; Vu, Clara; Lynch, James; Mass, Philip R."
57,Energy constrained multi-robot sensor-based coverage path planning using capacitated arc routing approach,journalArticle,2010.0,"Sipahioglu, Aydin; Kirlik, Gokhan; Parlaktuna, Osman; Yazici, Ahmet"
58,Control strategy and implementation of an inspection robot for 110kv power transmission lines,conferencePaper,2006.0,"Zhou, Fengyu; Xiao, Hairong; Li, Yibin; Wu, Aiguo"
59,An inspection robot for live-line suspension insulator strings in 345-kV power lines,journalArticle,2012.0,"Park, Joon-Young; Lee, Jae-Kyung; Cho, Byung-Hak; Oh, Ki-Yong"
60,Power and control autonomy for high-speed locomotion with an insect-scale legged robot,journalArticle,2018.0,"Goldberg, Benjamin; Zufferey, Raphael; Doshi, Neel; Helbling, Elizabeth Farrell; Whittredge, Griffin; Kovac, Mirko; Wood, Robert J."
61,Use of intra-operative indocyanine green and Firefly® technology to visualize the ‘‘landmark artery’’for nerve sparing robot assisted radical prostatectomy,journalArticle,2015.0,"Kumar, Anup; Samavedi, Srinivas; Bates, Anthony; Coelho, Rafael; Rocco, Bernardo; Marquinez, Jeff; Jenson, Cathy; Palmer, Kenneth; Patel, Vipul"
62,Power grasp planning for anthropomorphic robot hands,conferencePaper,2012.0,"Roa, Maximo A.; Argus, Max J.; Leidner, Daniel; Borst, Christoph; Hirzinger, Gerd"
63,Energy-efficient robot configuration for assembly,journalArticle,2017.0,"Mohammed, Abdullah; Schmidt, Bernard; Wang, Lihui"
64,Design principles for energy-efficient legged locomotion and implementation on the MIT cheetah robot,journalArticle,2014.0,"Seok, Sangok; Wang, Albert; Chuah, Meng Yee Michael; Hyun, Dong Jin; Lee, Jongwoo; Otten, David M.; Lang, Jeffrey H.; Kim, Sangbae"
65,A novel self-navigated inspection robot along high-voltage power transmission line and its application,conferencePaper,2008.0,"Wu, Gongping; Xu, Xianjin; Xiao, Hua; Dai, Jinchun; Xiao, Xiaohui; Huang, Zhenglie; Ruan, Liping"
66,Optimization and Analysis for Gait of Humanoid Robot Based on Energy Consumption Index [J],journalArticle,2007.0,"Sun, Min; Fan, Shou-Wen"
67,Using explosions to power a soft robot,journalArticle,2013.0,"Shepherd, Robert F.; Stokes, Adam A.; Freake, Jacob; Barber, Jabulani; Snyder, Phillip W.; Mazzeo, Aaron D.; Cademartiri, Ludovico; Morin, Stephen A.; Whitesides, George M."
68,A small climbing robot for the intelligent inspection of nuclear power plants,conferencePaper,2014.0,"Guan, Da; Yan, Lei; Yang, Yibo; Xu, Wenfu"
69,Implementation of industrial robot force control case study: high power stub grinding and deburring,conferencePaper,2006.0,"Robertsson, Anders; Olsson, Tomas; Johansson, Rolf; Blomdell, Anders; Nilsson, Klas; Haage, Mathias; Lauwers, Bert; De Baerdemaeker, Hans; Brogardh, Torgny; Brantmark, H\aakan"
70,Autonomous robot auto-docking and energy management systems and methods,patent,2013.0,"Cohen, David A.; Ozick, Daniel; Vu, Clara; Lynch, James; Mass, Philip R."
71,Energy-conservation for tactical robot networks,conferencePaper,1999.0,"Redi, Jason; Welsh, Bob"
72,Autonomous robot auto-docking and energy management systems and methods,patent,2014.0,"Cohen, David A.; Ozick, Daniel; Vu, Clara; Lynch, James; Mass, Philip R."
73,Development of task-oriented high power field robot platform with humanoid upper body and mobile wheeled base,conferencePaper,2016.0,"Chen, Xiangyu; Kimura, Kohei; Mizohana, Hiroto; Zhao, Moju; Shi, Fan; Chaudhary, Krishneel; Chan, Wesley P.; Nozawa, Shunichi; Kakiuchi, Yohei; Okada, Kei"
74,"Mechanical implementation and simulation of monolab, a mobile robot for inspection of power transmission lines",journalArticle,2007.0,"Nayyerloo, Mostafa; Yeganehparast, S.; Barati, Alireza; Foumani, M."
75,Design of lithium battery charger for a small mobile robot [J],journalArticle,2011.0,"ZHANG, Rong; ZHENG, Si-yi; YANG, Ling"
76,Increasing the energy efficiency of multi-robot production lines in the automotive industry,conferencePaper,2012.0,"Meike, Davis; Pellicciari, Marcello; Berselli, Giovanni; Vergnano, Alberto; Ribickis, Leonids"
77,A study of EMG and EEG during perception-assist with an upper-limb power-assist robot,conferencePaper,2012.0,"Kiguchi, Kazuo; Hayashi, Yoshiaki"
78,A robot-in-residence for data center thermal monitoring and energy efficiency management,conferencePaper,2011.0,"Deland, Kevin; Lenchner, Jonathan; Nelson, John; Connell, Jonathan; Thoensen, James; Kephart, Jeffrey O."
79,Impact of industrial robot tool mass on regenerative energy,conferencePaper,2017.0,"Paugurs, Arturs; Senfelds, Armands; Ribickis, Leonids"
80,Introduction of a LIDAR-based obstacle detection system on the LineScout power line robot,conferencePaper,2014.0,"Richard, Pierre-Luc; Pouliot, Nicolas; Montambault, Serge"
81,Development of a practical power transmission line inspection robot based on a novel line walking mechanism,conferencePaper,2010.0,"Wang, Ludan; Liu, Fei; Wang, Zhen; Xu, Shaoqiang; Cheng, Sheng; Zhang, Jianwei"
82,"Design of a robot leg with elastic energy storage, comparison to biology, and preliminary experimental results",conferencePaper,1996.0,"Berkemeier, Matthew D.; Desai, Kamal V."
83,An experimental robot system for power distribution line maintenance robots-System architecture and bolt insertion experiment,conferencePaper,2008.0,"Tsukahara, Kiyoshi; Tanaka, Yorihiko; He, Yingxin; Hori, Ryosuke; Mano, Kunihiro; Hibino, Akihiro; Taru, Yoshikazu; Tatsuno, Kyouichi"
84,A novel shrimp rover-based mobile robot for monitoring tunnel power cables,conferencePaper,2011.0,"Dian, Songyi; Liu, Tao; Liang, Yan; Liang, Mengyu; Zhen, Wei"
85,"The robot is the tether: active, adaptive power routing modular robots with unary inter-robot connectors",conferencePaper,2005.0,"Campbell, Jason; Pillai, Padmanabhan; Goldstein, Seth Copen"
86,Dynamic of electrical transmission lines with inspection robot on it under influence of limited power of robot engine,journalArticle,2015.0,"Eliseev, V. V.; Bahrami, M. R."
87,Experimental and finite element analysis of temperature and energy partition to the workpiece while grinding with a flexible robot,journalArticle,2013.0,"Tahvilian, Amir Masoud; Liu, Zhaoheng; Champliaud, Henri; Hazel, Bruce"
88,Optimum Design of Multi-Function Robot Arm Gripper for Varying Shape Green Product,journalArticle,2016.0,"Zol Bahri, Razali; Mohammad Haniff, Othman; Mohd Hisam, Daud"
89,Research on 3D line identification for 500 kV extra-high voltage overhead power line inspection robot,journalArticle,2011.0,"Huang, Xiaorong; Ruan, Yi; Li, Zheng; Tang, Yanyan"
90,Energy based control for safe human-robot physical interaction,conferencePaper,2016.0,"Meguenani, Anis; Padois, Vincent; Da Silva, Jimmy; Hoarau, Antoine; Bidaud, Philippe"
91,Analysis on the fundamental deformation effect of a robot soft finger and its contact width during power grasping,journalArticle,2011.0,"Elango, Natarajan; Marappan, R."
92,Using ultracapacitors as energy-storing devices on a mobile robot platform power system for ultra-fast charging,conferencePaper,2014.0,"Arantes, Carlos; Sepúlveda, João; Esteves, João Sena; Costa, Hugo; Soares, Filomena"
93,The work environment input for a power distribution line maintenance robot,conferencePaper,2007.0,"Tsukahara, Kiyoshi; Tanaka, Yorihiko; Hor, Ryosuke; He, Yingxm; Tatsuno, Kyouichi"
94,Mechanism Design and Kinematics Simulation of Inspection Robot for Extra-High Voltage Power Transmission Lines [J],journalArticle,2009.0,"LI, Xiaozhou; XU, Jinkai; YU, Huadong; SUN, Zhihuai; LIU, Yan"
95,A patrol mobile robot for power transformer substations based on ros,conferencePaper,2018.0,"Gao, Yang; Li, Sheng; Wang, Xiang; Chen, Qingwei"
96,AMOUR V: A hovering energy efficient underwater robot capable of dynamic payloads,journalArticle,2010.0,"Vasilescu, Iuliu; Detweiler, Carrick; Doniec, Marek; Gurdan, Daniel; Sosnowski, Stefan; Stumpf, Jan; Rus, Daniela"
97,Autonomous robot auto-docking and energy management systems and methods,patent,2013.0,"Cohen, David A.; Ozick, Daniel N.; Vu, Clara; Lynch, James; Mass, Philip R."
98,Conceptual design of a power distribution line maintenance robot using a developed CG simulator and experimental robot system,conferencePaper,2008.0,"Tsukahara, Kiyoshi; Tanaka, Yorihiko; He, Yingxin; Miyamoto, Toshihisa; Tatsuno, Kyouichi"
99,Effects of turning gait parameters on energy consumption and stability of a six-legged walking robot,journalArticle,2012.0,"Roy, Shibendu Shekhar; Pratihar, Dilip Kumar"
100,Learning landing control of an indoor blimp robot for self-energy recharging,journalArticle,2008.0,"Kawamura, Hidenori; Yamamoto, Masahito; Takaya, Toshihiko; Ohuchi, Azuma"
101,A low power laser rangefinder for autonomous robot applications,conferencePaper,1996.0,"Lamela, H.; Garcia, E."
102,An embedded vision system for a power transmission line inspection robot,conferencePaper,2009.0,"Lei, Weiyang; Li, En; Yang, Guodong; Fan, Changchun; Jing, Fengshui; Liang, Zize"
103,"Navigation, location and non-collision obstacles overcoming for high-voltage power transmission-line inspection robot",conferencePaper,2009.0,"Wu, Gongping; Zheng, Tuo; Xiao, Hua; Li, Cheng"
104,Power supply control device and method for mobile robot,patent,2007.0,"Sakai, Katsushi"
105,Energy efficiency of legged robot locomotion with elastically suspended loads,journalArticle,2013.0,"Ackerman, Jeffrey; Seipel, Justin"
106,Energy optimization of multi-robot systems,conferencePaper,2015.0,"Riazi, Sarmad; Bengtsson, Kristofer; Wigström, Oskar; Vidarsson, Emma; Lennartson, Bengt"
107,Verification of CFD analysis methods for predicting the drag force and thrust power of an underwater disk robot,journalArticle,2014.0,"Joung, Tae-Hwan; Choi, Hyeung-Sik; Jung, Sang-Ki; Sammut, Karl; He, Fangpo"
108,Optimizing perceived heaviness and motion for lifting objects with a power assist robot system considering change in time constant,journalArticle,2012.0,"Rahman, SM Mizanoor; Ikeura, Ryojun"
109,Mobile robot for power substation inspection: a survey,journalArticle,2017.0,"Lu, Shouyin; Zhang, Ying; Su, Jianjun"
110,A power autonomous monopedal robot,conferencePaper,2006.0,"Krupp, Benjamin T.; Pratt, Jerry E."
111,Design and simulation of crop monitoring robot for green house,conferencePaper,2016.0,"Aravind, K. R.; Raja, P."
112,Making robots persuasive: the influence of combining persuasive strategies (gazing and gestures) by a storytelling robot on its persuasive power,conferencePaper,2011.0,"Ham, Jaap; Bokhorst, René; Cuijpers, Raymond; van der Pol, David; Cabibihan, John-John"
113,Controlled use of a robot colony power supply,conferencePaper,2005.0,"Parker, Gary B.; Zbeda, Richard S."
114,Transmission line monitoring system for a power line inspection robot,journalArticle,2013.0,"Visser, T. C.; Gouws, R."
115,Development of a human and robot collaborative system for inspecting patrol of nuclear power plants,conferencePaper,1997.0,"Ishikawa, N.; Suzuki, K."
116,sEMG-based joint force control for an upper-limb power-assist exoskeleton robot,journalArticle,2013.0,"Li, Zhijun; Wang, Baocheng; Sun, Fuchun; Yang, Chenguang; Xie, Qing; Zhang, Weidong"
117,Energy consumption modeling of industrial robot based on simulated power data and parameter identification,journalArticle,2018.0,"Liu, Aiming; Liu, Huan; Yao, Bitao; Xu, Wenjun; Yang, Ming"
118,Energy and peak-power optimization of existing time-optimal robot trajectories,conferencePaper,2016.0,"Riazi, Sarmad; Bengtsson, Kristofer; Bischoff, Rainer; Aurnhammer, Andreas; Wigström, Oskar; Lennartson, Bengt"
119,Multiaxis robot control having improved energy monitoring system for protecting robots against joint motor overload,patent,1989.0,"Onaga, Eimei M.; Casler Jr, Richard J."
120,Energy-efficient robot applications towards sustainable manufacturing,journalArticle,2018.0,"Wang, Lihui; Mohammed, Abdullah; Wang, Xi Vincent; Schmidt, Bernard"
121,An optimal time-energy control design for a prototype educational robot,journalArticle,2002.0,"Khoukhi, Amar"
122,Global entrainment effect on biped robot locomotion energy,journalArticle,2009.0,"Za'Balawi, I. I.; Kiong, L. C.; Kiong, W. E.; Senanayake, SMN Arosha"
123,Implementation of Reliable Robot Control System for Nuclear Power Plant Manipulation,conferencePaper,2001.0,"Kim, Jae Kwon; Kim, Byung Kook"
124,Green internet of things application of a medical massage robot with system interruption,journalArticle,2019.0,"Si, Wen; Srivastava, Gautam; Zhang, Yizhong; Jiang, Lei"
125,Study on humanoid robot systems: An energy approach,conferencePaper,2008.0,"De Michieli, Lorenzo; Nori, Francesco; Prato, A. Pini; Sandini, Giulio"
126,Cable-crawler–robot for the inspection of high-voltage power lines that can passively roll over mast tops,journalArticle,2010.0,"Bühringer, Maleachi; Berchtold, Jan; Büchel, Melanie; Dold, Claus; Bütikofer, Michael; Feuerstein, Mevina; Fischer, Wolfgang; Bermes, Christian; Siegwart, Roland"
127,Realisation of an energy-efficient walking robot,thesis,2005.0,"Dertien, Edwin"
128,Robot applications in nuclear power plants,journalArticle,1990.0,"Gelhaus, Floyd E.; Roman, Harry T."
129,Design of fuzzy potential energy (FPE) for control of a soccer robot,conferencePaper,2004.0,"Tu, Kuo-Yang"
130,Design and implementation of a high power robot distributed control system on dependable responsive multithreaded processor (d-rmtp),conferencePaper,2016.0,"Shirai, Takuma; Osawa, Kohei; Chishiro, Hiroyuki; Yamasaki, Nobuyuki; Inaba, Masayuki"
131,Search and rescue robot team RF communication via power cable transmission line-a proposal,conferencePaper,2007.0,"Pan, Q. W.; Lowe, D."
132,Robot-assisted nerve-sparing radical prostatectomy using near-infrared fluorescence technology and indocyanine green: initial experience,journalArticle,2018.0,"Mangano, Mario S.; De Gobbi, Alberto; Beniamin, Francesco; Lamon, Claudio; Ciaccia, Matteo; Maccatrozzo, Luigino"
133,Global time-energy optimal planning of industrial robot trajectories,journalArticle,2010.0,"Haili, X. U.; Xiangrong, Jie; Jian, Zhuang; Sunan, WANG"
134,Improvements to the rescue robot quince toward future indoor surveillance missions in the Fukushima Daiichi nuclear power plant,conferencePaper,2014.0,"Yoshida, Tomoaki; Nagatani, Keiji; Tadokoro, Satoshi; Nishimura, Takeshi; Koyanagi, Eiji"
135,Fuzzy control for bipedal robot considering energy balance,journalArticle,2018.0,"Gordillo, Jhonattan; Martínez, F."
136,Impacts of flexible obstructive working environment on dynamic performances of inspection robot for power transmission line,journalArticle,2008.0,"Xiao, Xiao-hui; Wu, Gong-ping; Du, E.; Li, San-ping"
137,Running control of a planar biped robot based on energy-preserving strategy,conferencePaper,2004.0,"Hyon, Sang-Ho; Emura, Takashi"
138,"Lab-on-a-robot: Integrated microchip CE, power supply, electrochemical detector, wireless unit, and mobile platform",journalArticle,2008.0,"Berg, Christopher; Valdez, David C.; Bergeron, Phillip; Mora, Maria F.; Garcia, Carlos D.; Ayon, Arturo"
139,Visual servo control for automatic line-grasping of a power transmission line inspection robot,journalArticle,2012.0,"Guo, Weibin; Wang, Hongguang; Jiang, Yong; Sun, Peng"
140,An autonomous obstacles negotiating inspection robot for extra-high voltage power transmission lines,conferencePaper,2006.0,"Zhu, Xinglong; Zhou, Jiping; Wang, Hongguang; Fang, Lijin; Zhao, Mingyang"
141,An active endoscopic robot based on wireless power transmission and electromagnetic localization,journalArticle,2008.0,"Li, Hongwei; Yan, Guozheng; Ma, Guanying"
142,"Mechanical implementation and simulation of MoboLab, a mobile robot for inspection of power transmission lines",journalArticle,2007.0,"Nayyerloo, Mostafa; Yeganehparast, Seyyed Mohammad Mehdi; Barati, Alireza; Foumani, Mahmud Saadat"
143,Fault diagnosis system for the inspection robot in power transmission lines maintenance,conferencePaper,2009.0,"Zheng, Li; Yi, Ruan"
144,"Dynamic modeling, stability and energy consumption analysis of a realistic six-legged walking robot",journalArticle,2013.0,"Roy, Shibendu Shekhar; Pratihar, Dilip Kumar"
145,Trajectory planning based on minimum absolute input energy for an LCD glass-handling robot,journalArticle,2014.0,"Fung, Rong-Fong; Cheng, Yi-Hsin"
146,A study of energy-saving shoes for robot considering 3D motion,conferencePaper,2006.0,"Minakata, Hideaki; Tadakuma, Susumu"
147,Simulation of High Altitude Power-on-live Robot Based on Pro/E and ADAMS,journalArticle,2015.0,"ZHANG, Shu-Cheng; CAI, Chang-liang; HAN, Xue"
148,Structure-constrained obstacles recognition for power transmission line inspection robot,conferencePaper,2006.0,"Fu, Siyao; Li, Weiming; Zhang, Yunchu; Liang, Zize; Hou, Zengguang; Tan, Min; Ye, Wenbo; Lian, Bo; Zuo, Qi"
149,Power and force limiting on industrial robots for human-robot collaboration,journalArticle,2019.0,"Aivaliotis, P.; Aivaliotis, S.; Gkournelos, C.; Kokkalis, K.; Michalos, G.; Makris, S."
150,Analysis and simulation of kinematics of 5-DOF nuclear power station robot manipulator,conferencePaper,2014.0,"Chen, Chunchao; Li, Jinsong; Luo, Jun; Xie, Shaorong; Pu, Huayan; Cui, Ze; Gu, Jason"
151,"UB robot swarm—Design, implementation, and power management",conferencePaper,2016.0,"Patil, Madhav; Abukhalil, Tamer; Patel, Sarosh; Sobh, Tarek"
152,Development of a shared remote control robot for aerial work in nuclear power plants,journalArticle,2018.0,"Shin, Hocheol; Jung, Seung Ho; Choi, You Rack; Kim, ChangHoi"
153,Port-based modeling of human-robot collaboration towards safety-enhancing energy shaping control,conferencePaper,2016.0,"Geravand, Milad; Shahriari, Erfan; De Luca, Alessandro; Peer, Angelika"
154,Autonomous robot auto-docking and energy management systems and methods,patent,2014.0,"Cohen, David A.; Ozick, Daniel; Vu, Clara; Lynch, James; Mass, Philip R."
155,UQ roboroos: Achieving power and agility in a small size robot,conferencePaper,2001.0,"Wyeth, Gordon; Ball, David; Cusack, David; Ratnapala, Adrian"
156,"Optimization of Power Usage and Required Torque for Delta Robot, Using Genetic Algorithm",journalArticle,2010.0,"Naderi, D.; Salehi, R."
157,Energy-optimal trajectory planning for robot manipulators with holonomic constraints,journalArticle,2012.0,"Gregory, John; Olivares, Alberto; Staffetti, Ernesto"
158,Minimum-energy trajectory planning for an LCD glass-handling robot,conferencePaper,2011.0,"Fung, Rong-Fong; Cheng, Yi-Hsin"
159,Power efficiency estimation-based health monitoring and fault detection of modular and reconfigurable robot,journalArticle,2011.0,"Yuan, Jing; Liu, Guangjun; Wu, Bin"
160,Power requirement comparison in the 3-RPR planar parallel robot dynamics,journalArticle,2009.0,"Staicu, Stefan"
161,Minimization of the energy consumption in motion planning for single-robot tasks,journalArticle,2015.0,"Pellegrinelli, Stefania; Borgia, Stefano; Pedrocchi, Nicola; Villagrossi, Enrico; Bianchi, Giacomo; Tosatti, Lorenzo Molinari"
162,Development of an inspection robot for 500 kV EHV power transmission lines,conferencePaper,2010.0,"Wang, Hongguang; Zhang, Fei; Jiang, Yong; Liu, Guangjun; Peng, Xiaojie"
163,Design and power management of a solar-powered “Cool Robot” for polar instrument networks,journalArticle,2007.0,"Ray, Laura E.; Lever, James H.; Streeter, Alexander D.; Price, Alexander D."
164,Analysis of the energy consumption by an industrial robot for the angular movement of individual axes,journalArticle,2018.0,"Olesiak, Krzysztof"
