"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CUN4VXEB","conferencePaper","2007","Montambault, Serge; Pouliot, Nicolas","Design and validation of a mobile robot for power line inspection and maintenance","","","","","","","2007","2020-03-29 14:47:52","2020-03-29 14:47:52","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\KHJAKGDP\Montambault and Pouliot - 2007 - Design and validation of a mobile robot for power .pdf; C:\Users\StanS\Zotero\storage\5KLL4ASS\inria-00194717.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SX9QJ4WG","journalArticle","2014","Paes, Koen; Dewulf, Wim; Vander Elst, Karel; Kellens, Karel; Slaets, Peter","Energy efficient trajectories for an industrial ABB robot","Procedia Cirp","","","","","","2014","2020-03-29 14:47:52","2020-03-29 14:47:52","","105–110","","","15","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\K3KIY6G2\S2212827114004661.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKCETG66","conferencePaper","2011","Chan, Hoi; Connell, Jonathan; Isci, Canturk; Kephart, Jeffrey O.; Lenchner, Jonathan; Mansley, Christopher; McIntosh, Suzanne","A robot as mobile sensor and agent in data center energy management","Proceedings of the 8th ACM international conference on Autonomic computing","","","","","","2011","2020-03-29 14:47:52","2020-03-29 14:47:52","","165–166","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\24H4FDMX\Chan et al. - 2011 - A robot as mobile sensor and agent in data center .pdf; C:\Users\StanS\Zotero\storage\6S624Y9B\1998582.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3347KDQ","conferencePaper","2008","Pinto, José Kleber da Cunha; Masuda, M.; Magrini, Luiz Carlos; Jardini, José Antonio; Garbelloti, M. V.","Mobile robot for hot spot monitoring in electric power substation","2008 IEEE/PES Transmission and Distribution Conference and Exposition","","","","","","2008","2020-03-29 14:47:52","2020-03-29 14:47:52","","1–5","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\9EDKAK4U\Pinto et al. - 2008 - Mobile robot for hot spot monitoring in electric p.pdf; C:\Users\StanS\Zotero\storage\X3K5SPPT\4517245.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9N93DHNX","conferencePaper","2007","Gurdan, Daniel; Stumpf, Jan; Achtelik, Michael; Doth, Klaus-Michael; Hirzinger, Gerd; Rus, Daniela","Energy-efficient autonomous four-rotor flying robot controlled at 1 kHz","Proceedings 2007 IEEE International Conference on Robotics and Automation","","","","","","2007","2020-03-29 14:47:52","2020-03-29 14:47:52","","361–366","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\BBJA4Y6L\Gurdan et al. - 2007 - Energy-efficient autonomous four-rotor flying robo.pdf; C:\Users\StanS\Zotero\storage\YNF4GD7Y\4209118.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TP9HHVBN","journalArticle","2005","Lucas, Nestor; Codrea, Cosmin; Hirth, Thomas; Gutierrez, Javier; Dressler, Falko","RoBM2: measurement of battery capacity in mobile robot systems","GI/ITG KuVS Fachgespräch Energiebewusste Systeme und Methoden, Erlangen, Germany","","","","","","2005","2020-03-29 14:47:52","2020-03-29 14:47:52","","13–18","","","","","","RoBM2","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\LVSFLYXH\Lucas et al. - 2005 - RoBM2 measurement of battery capacity in mobile r.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7HZQKVY","conferencePaper","2005","Zhou, F. Y.; Wang, J. D.; Li, Y. B.; Wang, J.; Xiao, H. R.","Control of an inspection robot for 110KV power transmission lines based on expert system design methods","Proceedings of 2005 IEEE Conference on Control Applications, 2005. CCA 2005.","","","","","","2005","2020-03-29 14:47:52","2020-03-29 14:47:52","","1563–1568","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\N39W5LJC\1507355.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3EXKXCY","journalArticle","2012","Vergnano, Alberto; Thorstensson, Carl; Lennartson, Bengt; Falkman, Petter; Pellicciari, Marcello; Leali, Francesco; Biller, Stephan","Modeling and optimization of energy consumption in cooperative multi-robot systems","IEEE Transactions on Automation Science and Engineering","","","","","","2012","2020-03-29 14:47:52","2020-03-29 14:47:52","","423–428","","2","9","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\NP799PU7\6140609.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRY65HTX","conferencePaper","2009","Guo, Rui; Li, Bingqiang; Sun, Yutian; Han, Lei","A patrol robot for electric power substation","2009 International Conference on Mechatronics and Automation","","","","","","2009","2020-03-29 14:47:52","2020-03-29 14:47:52","","55–59","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\TMIDAQQ3\5245105.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZVWRKW7","conferencePaper","2008","Montambault, Serge; Pouliot, Nicolas","Design and validation of a mobile robot for power line inspection and maintenance","Field and Service Robotics","","","","","","2008","2020-03-29 14:47:52","2020-03-29 14:47:52","","495–504","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\7H4FFUNG\978-3-540-75404-6_47.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4L7WHZZU","patent","2015","Embon, Lisandro; Hazan, Moshe; Madvil, Rahav","Energy and cycle time efficiency based method for robot positioning","","","","","","","2015-10-01","2020-03-29 14:49:53","2020-03-29 14:49:53","","","","","","","","","","","","","","","","","","","","","","Library Catalog: Google Scholar Publisher: Google Patents","","C:\Users\StanS\Zotero\storage\R63TXJFM\Embon et al. - 2015 - Energy and cycle time efficiency based method for .pdf; C:\Users\StanS\Zotero\storage\JY4A6Q84\en.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CYUEI9R","conferencePaper","1976","Orin, David E.; McGhee, Robert B.; Jaswa, V. C.","Interactive compute-control of a six-legged robot vehicle with optimization of stability, terrain adaptibility and energy","1976 IEEE Conference on Decision and Control including the 15th Symposium on Adaptive Processes","","","","","","1976","2020-03-29 14:49:53","2020-03-29 14:49:53","","382–391","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\4XXNBP94\4045623.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSXP9MWE","journalArticle","2014","Mohammed, Abdullah; Schmidt, Bernard; Wang, Lihui; Gao, Liang","Minimizing energy consumption for robot arm movement","Procedia CIRP","","","","","","2014","2020-03-29 14:49:53","2020-03-29 14:49:53","","400–405","","","25","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\2S8HRLZS\Mohammed et al. - 2014 - Minimizing energy consumption for robot arm moveme.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYFHS29U","journalArticle","2016","Ramos, Ernesto Zamora; Ramos, Maria; Moutafis, Konstantinos; Yfantis, Evangelos A.","Robot-Server Architecture for Optimizing Solar Panel Power Output","Transactions on Machine Learning and Artificial Intelligence","","","","","","2016","2020-03-29 14:49:53","2020-03-29 14:49:53","","09–09","","4","4","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\6MVPW7LT\2141.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAKZR2CI","conferencePaper","2001","Gemeinder, Marcus; Gerke, Michael","GA-based search for paths with minimum energy consumption for mobile robot systems","International Conference on Computational Intelligence","","","","","","2001","2020-03-29 14:49:53","2020-03-29 14:49:53","","599–607","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\GPZ5NS4S\3-540-45493-4_60.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8YT9G2R","conferencePaper","2010","Bailón, W. Pérez; Cardiel, E. Barrera; Campos, I. Juárez; Paz, A. Ramos","Mechanical energy optimization in trajectory planning for six DOF robot manipulators based on eighth-degree polynomial functions and a genetic algorithm","2010 7th International Conference on Electrical Engineering Computing Science and Automatic Control","","","","","","2010","2020-03-29 14:49:53","2020-03-29 14:49:53","","446–451","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\X6Q5NED4\5608583.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWHTDXA2","journalArticle","2018","Lima, Eduardo José; Bomfim, Marcelo Henrique Souza; de Miranda Mourão, Miguel Augusto","POLIBOT–POwer Lines Inspection RoBOT","Industrial Robot: An International Journal","","","","","","2018","2020-03-29 14:49:53","2020-03-29 14:49:53","","","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Emerald Publishing Limited","","C:\Users\StanS\Zotero\storage\S9XDYADX\html.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNENNFB4","journalArticle","1995","Bach, Fr-W.; Rachkov, M.; Seevers, J.; Hahn, M.","High tractive power wall-climbing robot","Automation in construction","","","","","","1995","2020-03-29 14:49:53","2020-03-29 14:49:53","","213–224","","3","4","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\9N5R64X5\092658059500005L.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQ7PA9XH","bookSection","2008","LIMA, JOSÉ L.; GONÇALVES, JOSÉ C.; COSTA, PAULO J.; MOREIRA, A. PAULO","Realistic humanoid robot simulation with an optimized controller: a power consumption minimization approach","Advances In Mobile Robotics","","","","","","2008","2020-03-29 14:49:53","2020-03-29 14:49:53","","1242–1249","","","","","","Realistic humanoid robot simulation with an optimized controller","","","","","World Scientific","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\QIRBFK3T\LIMA et al. - 2008 - Realistic humanoid robot simulation with an optimi.pdf; C:\Users\StanS\Zotero\storage\T4F688P4\9789812835772_0150.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XTY8DLR8","journalArticle","2012","Kiguchi, Kazuo; Hayashi, Yoshiaki","An EMG-based control for an upper-limb power-assist exoskeleton robot","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","","","","","","2012","2020-03-29 14:49:53","2020-03-29 14:49:53","","1064–1071","","4","42","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\LTGNKVGM\6151182.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMJC5SMH","journalArticle","2005","YANG, Qi-zhi; YIN, Xiao-gin; MA, Lu-zhong; DU, Sheng-chao","Establishing stiffness of prismatic pair in fully compliant parallel micro-robot using energy method [J]","Journal of Jiangsu University (National Science Edition)","","","","","","2005","2020-03-29 14:50:09","2020-03-29 14:50:09","","","","","1","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\KK74HJYI\CJFDTotal-JSLG200501006.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X3DE7CQM","conferencePaper","2003","Luo, R. C.; Su, K. L.; Deng, C. W.","Multisensor based power diagnosis system for an intelligent robot","IECON'03. 29th Annual Conference of the IEEE Industrial Electronics Society (IEEE Cat. No. 03CH37468)","","","","","","2003","2020-03-29 14:50:09","2020-03-29 14:50:09","","2500–2505","","","3","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\M9DIE2LR\1280638.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YEBNK85H","conferencePaper","2005","Siregar, H. P.","Simulation of power consumption for walking robot","Proceedings of the Fifth International Workshop on Robot Motion and Control, 2005. RoMoCo'05.","","","","","","2005","2020-03-29 14:50:09","2020-03-29 14:50:09","","27–32","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\MQ656BE9\1554375.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCHVX88W","journalArticle","2008","Minakata, Hideaki; Seki, Hirokazu; Tadakuma, Susumu","A study of energy-saving shoes for robot considering lateral plane motion","IEEE Transactions on Industrial Electronics","","","","","","2008","2020-03-29 14:50:09","2020-03-29 14:50:09","","1271–1276","","3","55","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\BRBFZLYB\4459833.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ADAMC3V","journalArticle","2014","Mostashfi, A.; Fakhari, A.; Badri, Mohammad Ali","A novel design of inspection robot for high-voltage power lines","Industrial Robot: An International Journal","","","","","","2014","2020-03-29 14:50:09","2020-03-29 14:50:09","","","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Emerald Group Publishing Limited","","C:\Users\StanS\Zotero\storage\D8N632XU\Mostashfi et al. - 2014 - A novel design of inspection robot for high-voltag.pdf; C:\Users\StanS\Zotero\storage\CI4928ZZ\html.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98KPBTVT","journalArticle","2008","He, Yingxin; Tatsuno, Kyouichi","An Example of Open Robot Controller Architecture-For Power Distribution Line Maintenance Robot System","World Academy of Science, Engineering and Technology","","","","","","2008","2020-03-29 14:50:09","2020-03-29 14:50:09","","266–271","","","29","","","","","","","","","","","","","","","Google Scholar","","Publisher: Citeseer","","C:\Users\StanS\Zotero\storage\LUEMKPZW\He and Tatsuno - 2008 - An Example of Open Robot Controller Architecture-F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJWTYJG3","conferencePaper","2016","Fenucci, Alba; Indri, Marina; Romanelli, Fabrizio","An off-line robot motion planning approach for the reduction of the energy consumption","2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA)","","","","","","2016","2020-03-29 14:50:09","2020-03-29 14:50:09","","1–8","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\B92X6UWT\7733595.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A58BTBJS","conferencePaper","2010","Vergnano, Alberto; Thorstensson, Carl; Lennartson, Bengt; Falkman, Petter; Pellicciari, Marcello; Yuan, Chengyin; Biller, Stephan; Leali, Francesco","Embedding detailed robot energy optimization into high-level scheduling","2010 IEEE International Conference on Automation Science and Engineering","","","","","","2010","2020-03-29 14:50:09","2020-03-29 14:50:09","","386–392","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\CN6YWGRF\5584686.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FP5V6SKH","conferencePaper","2006","Sun, Cuilian; Wang, Hongguang; Zhao, Mingyang; Liu, Hongjun","3D simulation and optimization design of a mobile inspection robot for power transmission lines","2006 6th World Congress on Intelligent Control and Automation","","","","","","2006","2020-03-29 14:50:09","2020-03-29 14:50:09","","8986–8991","","","2","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\QCPWX4D7\1713738.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3LFC4G4","patent","2018","Embon, Lisandro; Hazan, Moshe; Madvil, Rahav","Energy and cycle time efficiency based method for robot positioning","","","","","","","2018-03-20","2020-03-29 14:50:09","2020-03-29 14:50:09","","","","","","","","","","","","","","","","","","","","","","Library Catalog: Google Scholar Publisher: Google Patents","","C:\Users\StanS\Zotero\storage\SB3WYAE7\Embon et al. - 2018 - Energy and cycle time efficiency based method for .pdf; C:\Users\StanS\Zotero\storage\KVG24KQ2\en.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSQACQBT","journalArticle","2013","Schmidt, Bernard; Mohammed, Abdullah; Wang, Lihui","Minimising energy consumption for robot arm movement","Adv Manuf Eng Technol (NEWTECH)","","","","","","2013","2020-03-29 14:52:17","2020-03-29 14:52:17","","125–34","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\2JCY84NP\Schmidt et al. - 2013 - Minimising energy consumption for robot arm moveme.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQS695JK","bookSection","2012","Bhounsule, Pranav A.; Cortell, Jason; Ruina, Andy","Design and control of Ranger: an energy-efficient, dynamic walking robot","Adaptive Mobile Robotics","","","","","","2012","2020-03-29 14:52:17","2020-03-29 14:52:17","","441–448","","","","","","Design and control of Ranger","","","","","World Scientific","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\5GP67T5G\Bhounsule et al. - 2012 - Design and control of Ranger an energy-efficient,.pdf; C:\Users\StanS\Zotero\storage\ABJ8W3BW\9789814415958_0057.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCH233KK","journalArticle","2017","Barzegaran, M. R.; Zargarzadeh, Hassan; Mohammed, O. A.","Wireless power transfer for electric vehicle using an adaptive robot","IEEE Transactions on Magnetics","","","","","","2017","2020-03-29 14:52:17","2020-03-29 14:52:17","","1–4","","6","53","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\HTZDEML3\7843644.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5YG29BB","conferencePaper","2005","Lespérance, Éric; Desbiens, Alexis Lussier; Roux, M.-A.; Lavoie, M.-A.; Fauteux, Philippe","Design of a small and low-cost power management unit for a cockroach-like running robot","2005 IEEE/RSJ International Conference on Intelligent Robots and Systems","","","","","","2005","2020-03-29 14:52:17","2020-03-29 14:52:17","","2387–2392","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\VWYNXVZB\1545595.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKTJUKE4","journalArticle","2011","Vanderborght, Bram; Tsagarakis, Nikos G.; Van Ham, Ronald; Thorson, Ivar; Caldwell, Darwin G.","MACCEPA 2.0: compliant actuator used for energy efficient hopping robot Chobino1D","Autonomous Robots","","","","","","2011","2020-03-29 14:52:17","2020-03-29 14:52:17","","55","","1","31","","","MACCEPA 2.0","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\StanS\Zotero\storage\D69BT376\Vanderborght et al. - 2011 - MACCEPA 2.0 compliant actuator used for energy ef.pdf; C:\Users\StanS\Zotero\storage\AHQKR82G\s10514-011-9230-7.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
