"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KCQCK3ZH","conferencePaper","2019","Firdaus, N.; Samat, H. A.; Mohamad, N.","Maintenance for Energy efficiency: A Review","IOP Conference Series: Materials Science and Engineering","","","","","","2019","2020-04-14 12:26:52","2020-04-14 12:26:52","","012047","","","530","","","Maintenance for Energy efficiency","","","","","IOP Publishing","","","","","","","Google Scholar","","Issue: 1","","C:\Users\StanS\Zotero\storage\U2MSKU3Z\Firdaus et al. - 2019 - Maintenance for Energy efficiency A Review.pdf; C:\Users\StanS\Zotero\storage\WHSEQ2BR\meta.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C63SNJZX","journalArticle","2017","Carabin, Giovanni; Wehrle, Erich; Vidoni, Renato","A review on energy-saving optimization methods for robotic and automatic systems","Robotics","","","","","","2017","2020-04-14 12:27:52","2020-04-14 12:27:52","","39","","4","6","","","","","","","","","","","","","","","Google Scholar","","Publisher: Multidisciplinary Digital Publishing Institute","","C:\Users\StanS\Zotero\storage\RVR7KB69\Carabin et al. - 2017 - A review on energy-saving optimization methods for.pdf; C:\Users\StanS\Zotero\storage\NZKG2IHR\39.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJSW5DK7","conferencePaper","2006","Mei, Yongguo; Lu, Yung-Hsiang; Lee, CS George; Hu, Y. Charlie","Energy-efficient mobile robot exploration","Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.","","","","","","2006","2020-04-14 12:30:12","2020-04-14 12:30:12","","505–511","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\XYZ77AQB\Mei et al. - 2006 - Energy-efficient mobile robot exploration.pdf; C:\Users\StanS\Zotero\storage\IJ6KQNEE\1641761.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NB8IDQC7","conferencePaper","2005","Mei, Yongguo; Lu, Yung-Hsiang; Hu, Y. Charlie; Lee, CS George","A case study of mobile robot's energy consumption and conservation techniques","ICAR'05. Proceedings., 12th International Conference on Advanced Robotics, 2005.","","","","","","2005","2020-04-14 12:30:12","2020-04-14 12:30:12","","492–497","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\M9SEBTMW\Mei et al. - 2005 - A case study of mobile robot's energy consumption .pdf; C:\Users\StanS\Zotero\storage\VXYVN7FK\1507454.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9J429DXW","journalArticle","2006","Mei, Yongguo; Lu, Yung-Hsiang; Hu, Yu Charlie; Lee, CS George","Deployment of mobile robots with energy and timing constraints","IEEE Transactions on robotics","","","","","","2006","2020-04-14 12:30:12","2020-04-14 12:30:12","","507–522","","3","22","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\MW87TYVA\Mei et al. - 2006 - Deployment of mobile robots with energy and timing.pdf; C:\Users\StanS\Zotero\storage\JDJ54LJA\1638342.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62WT3M4A","conferencePaper","2005","Kim, Chong Hui; Kim, Byung Kook","Energy-saving 3-step velocity control algorithm for battery-powered wheeled mobile robots","Proceedings of the 2005 IEEE international conference on robotics and automation","","","","","","2005","2020-04-14 12:30:32","2020-04-14 12:30:32","","2375–2380","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\APSU8ILW\Kim and Kim - 2005 - Energy-saving 3-step velocity control algorithm fo.pdf; C:\Users\StanS\Zotero\storage\Q2T2WGEK\1570468.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ICRS9ZS","thesis","2007","Mei, Yongguo","Energy-efficient mobile robots","","","","","","","2007","2020-04-14 12:31:14","2020-04-14 12:31:14","","","","","","","","","","","","","Purdue University","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\RCYRDPNI\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5RDCWBS","conferencePaper","2012","Patel, Sonali; Shukla, Anupam; Tiwari, Ritu","Efficient strategy for co-ordinated multirobot exploration","Proceedings of the Second International Conference on Computational Science, Engineering and Information Technology","","","","","","2012","2020-04-14 12:32:09","2020-04-14 12:32:09","","105–111","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\4CWWK33M\2393216.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJJ5FVSE","journalArticle","2015","Lysenko, V.; Bolbot, І.; Chernov, І.","The optimization of power consumption of mobile robots","Системні технології","","","","","","2015","2020-04-14 12:32:09","2020-04-14 12:32:09","","58–66","","6","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Національна металургійна академія України","","C:\Users\StanS\Zotero\storage\BTZ39TRX\Lysenko et al. - 2015 - The optimization of power consumption of mobile ro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAYTQ8TV","conferencePaper","2012","Patel, Sonali; Tiwari, Ritu; Shukla, Anupam","An energy efficient platform for mobile robot","AIP Conference Proceedings","","","","","","2012","2020-04-14 12:32:09","2020-04-14 12:32:09","","90–95","","","1499","","","","","","","","American Institute of Physics","","","","","","","Google Scholar","","Issue: 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TG8EJE9Y","journalArticle","2010","Stirling, Timothy; Wischmann, Steffen; Floreano, Dario","Energy-efficient indoor search by swarms of simulated flying robots without global information","Swarm Intelligence","","","","","","2010","2020-04-14 12:33:25","2020-04-14 12:33:25","","117–143","","2","4","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\StanS\Zotero\storage\4CL823CZ\Stirling et al. - 2010 - Energy-efficient indoor search by swarms of simula.pdf; C:\Users\StanS\Zotero\storage\527DDYBZ\s11721-010-0039-3.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEALIJ6E","journalArticle","2009","Ooi, Chia Ching; Schindelhauer, Christian","Minimal energy path planning for wireless robots","Mobile Networks and Applications","","","","","","2009","2020-04-14 12:33:25","2020-04-14 12:33:25","","309–321","","3","14","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\StanS\Zotero\storage\D3KNNCXJ\Ooi and Schindelhauer - 2009 - Minimal energy path planning for wireless robots.pdf; C:\Users\StanS\Zotero\storage\484G6Z7I\s11036-008-0150-5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JW8P32EP","journalArticle","2011","Ghaffarkhah, Alireza; Mostofi, Yasamin","Communication-aware motion planning in mobile networks","IEEE Transactions on Automatic Control","","","","","","2011","2020-04-14 12:33:25","2020-04-14 12:33:25","","2478–2485","","10","56","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\HTMSSWUT\Ghaffarkhah and Mostofi - 2011 - Communication-aware motion planning in mobile netw.pdf; C:\Users\StanS\Zotero\storage\9XKNSZ2T\5978188.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIK7X9UD","conferencePaper","2007","Zhang, Wei; Hu, Jianghai","Low power management for autonomous mobile robots using optimal control","2007 46th IEEE Conference on Decision and Control","","","","","","2007","2020-04-14 13:19:17","2020-04-14 13:19:17","","5364–5369","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\GK3ZJ8TY\Zhang and Hu - 2007 - Low power management for autonomous mobile robots .pdf; C:\Users\StanS\Zotero\storage\LZQDE7TB\4434847.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWP93KSV","journalArticle","2010","Stirling, Timothy; Wischmann, Steffen; Floreano, Dario","Energy-efficient indoor search by swarms of simulated flying robots without global information","Swarm Intelligence","","","","","","2010","2020-04-14 13:28:44","2020-04-14 13:28:44","","117–143","","2","4","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\StanS\Zotero\storage\UZ4M3EB5\Stirling et al. - 2010 - Energy-efficient indoor search by swarms of simula.pdf; C:\Users\StanS\Zotero\storage\9KJTH4IG\s11721-010-0039-3.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Q7VF7DW","bookSection","2013","Stirling, Timothy; Floreano, Dario","Energy-time efficiency in aerial swarm deployment","Distributed Autonomous Robotic Systems","","","","","","2013","2020-04-14 13:29:17","2020-04-14 13:29:17","","5–18","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\FANJLMBT\Stirling and Floreano - 2013 - Energy-time efficiency in aerial swarm deployment.pdf; C:\Users\StanS\Zotero\storage\98BNPX56\978-3-642-32723-0_1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W33KR9VE","thesis","2007","Mei, Yongguo","Energy-efficient mobile robots","","","","","","","2007","2020-04-14 13:29:32","2020-04-14 13:29:32","","","","","","","","","","","","","Purdue University","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\NLS9UF3E\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHQTTDWD","journalArticle","2009","Shahab, Mohammad; Masoud, Ahmed","Energy-Efficient Motion Control of Mobile Robots","King Fahd University of Petroleum & Minerals, Course Task EE","","","","","","2009","2020-04-14 13:30:04","2020-04-14 13:30:04","","","","","656","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\88BK9ALL\Shahab and Masoud - 2009 - Energy-Efficient Motion Control of Mobile Robots.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9QS7EZ4","conferencePaper","2016","Rappaport, Micha","Energy-aware mobile robot exploration with adaptive decision thresholds","Proceedings of ISR 2016: 47st International Symposium on Robotics","","","","","","2016","2020-04-14 13:30:17","2020-04-14 13:30:17","","1–8","","","","","","","","","","","VDE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\I8C8KGF5\Rappaport - 2016 - Energy-aware mobile robot exploration with adaptiv.pdf; C:\Users\StanS\Zotero\storage\N87AWFGH\7559122.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPHIG2PR","conferencePaper","2011","Moraes, Elisabete Nakoneczny; Becker, Leandro Buss","Framework for estimating energy consumption in embedded systems","2011 Brazilian Symposium on Computing System Engineering","","","","","","2011","2020-04-14 13:30:46","2020-04-14 13:30:46","","121–126","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\UL7XMZWQ\6114845.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IBZAPY9","thesis","2015","Broderick, John A.","Energy and Mobility Management of a Ground Robot to Increase Operational Capacity.","","","","","","","2015","2020-04-14 13:31:01","2020-04-14 13:31:01","","","","","","","","","","","","","","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\BGZE3R7S\Broderick - 2015 - Energy and Mobility Management of a Ground Robot t.pdf; C:\Users\StanS\Zotero\storage\HJ8X5YEY\111553.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I88VKD9J","conferencePaper","2016","Sattayasoonthorn, Preedipat; Suthakorn, Jackrit","Battery management for rescue robot operation","2016 IEEE International Conference on Robotics and Biomimetics (ROBIO)","","","","","","2016","2020-04-14 13:31:16","2020-04-14 13:31:16","","1227–1232","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\7EI4T2IR\Sattayasoonthorn and Suthakorn - 2016 - Battery management for rescue robot operation.pdf; C:\Users\StanS\Zotero\storage\XTP4KZXB\7866493.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KGQIQTW","conferencePaper","2016","Benkrid, Abdenour; Benallegue, Abdelaziz; Achour, Noura","Robot's energy consumption based multi-robot exploration strategy","2016 IEEE International Conference on Robotics and Biomimetics (ROBIO)","","","","","","2016","2020-04-14 13:31:16","2020-04-14 13:31:16","","1129–1134","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\MA8V33CQ\7866477.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WGJLA88","journalArticle","2016","Jaleel, Hassan; Shamma, Jeff S.","Energy Aware Architecture for Coordinated Mobility: An Approximate Dynamic Programming Approach","arXiv preprint arXiv:1607.07267","","","","","","2016","2020-04-14 13:31:43","2020-04-14 13:31:43","","","","","","","","Energy Aware Architecture for Coordinated Mobility","","","","","","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\I5242DT5\Jaleel and Shamma - 2016 - Energy Aware Architecture for Coordinated Mobility.pdf; C:\Users\StanS\Zotero\storage\6BD6UCCJ\1607.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THMYW972","journalArticle","2020","Jaramillo-Morales, Mauricio F.; Dogru, Sedat; Gomez-Mendoza, Juan B.; Marques, Lino","Energy estimation for differential drive mobile robots on straight and rotational trajectories","International Journal of Advanced Robotic Systems","","","","","","2020","2020-04-14 13:32:03","2020-04-14 13:32:03","","1729881420909654","","2","17","","","","","","","","","","","","","","","Google Scholar","","Publisher: SAGE Publications Sage UK: London, England","","C:\Users\StanS\Zotero\storage\WH6BYCFG\Jaramillo-Morales et al. - 2020 - Energy estimation for differential drive mobile ro.pdf; C:\Users\StanS\Zotero\storage\QXT7HBJA\1729881420909654.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZK6MGHD","conferencePaper","2017","Yang, Huizhen; Li, Ruizhen; Yun, Niu","Tradeoff between battery life and control quality in battery supported cyber-physical systems","2017 14th International Bhurban Conference on Applied Sciences and Technology (IBCAST)","","","","","","2017","2020-04-14 13:32:03","2020-04-14 13:32:03","","408–413","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\M8D8ZH56\7868086.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STWMQ4ZU","journalArticle","2019","Chaim, Michael Ben","Energy Limitations and Energetic Efficiency of Mobile Robots","Autonomous Mobile Robots and Multi-Robot Systems: Motion-Planning, Communication, and Swarming","","","","","","2019","2020-04-14 13:32:20","2020-04-14 13:32:20","","183","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: John Wiley & Sons","","C:\Users\StanS\Zotero\storage\L4B9IXVP\books.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLQLKJYF","thesis","2013","Yu, Shengwei","Energy optimization in mobile sensor networks","","","","","","","2013","2020-04-14 13:32:20","2020-04-14 13:32:20","","","","","","","","","","","","","Purdue University","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\ME8CH5NN\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXXLDVBQ","journalArticle","2016","Stanhouse, Kyle; Kitts, Chris; Mas, Ignacio","Time-Energy Optimal Cluster Space Motion Planning for Mobile Robot Formations","Recent Advances in Robotic Systems","","","","","","2016","2020-04-14 13:32:20","2020-04-14 13:32:20","","141","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: BoD–Books on Demand","","C:\Users\StanS\Zotero\storage\6Y2YLRGW\time-energy-optimal-cluster-space-motion-planning-for-mobile-robot-formations.html; C:\Users\StanS\Zotero\storage\TRT5UYT9\books.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BP8XAHUH","conferencePaper","2018","Angelina, Seilla; Afifah, Shofuro; Susamti, Paramadina; Priramadhi, Rizki Ardianto; Darlis, Denny","Efficient energy consumption for indoor mobile robot prototype under illumination","MATEC Web of Conferences","","","","","","2018","2020-04-14 13:32:33","2020-04-14 13:32:33","","11016","","","197","","","","","","","","EDP Sciences","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\KU966YHW\Angelina et al. - 2018 - Efficient energy consumption for indoor mobile rob.pdf; C:\Users\StanS\Zotero\storage\LTR8VCHK\matecconf_aasec2018_11016.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
