"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RFJYANZH","conferencePaper","1995","Barili, A.; Ceresa, M.; Parisi, C.","Energy-saving motion control for an autonomous mobile robot","1995 Proceedings of the IEEE International Symposium on Industrial Electronics","","","","","","1995","2020-04-07 12:50:15","2020-04-07 12:50:15","","674–676","","","2","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\4C72J38Z\497266.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVIHKKAP","conferencePaper","2003","Batalin, Maxim A.; Sukhatme, Gaurav S.","Efficient exploration without localization","2003 IEEE International Conference on Robotics and Automation (Cat. No. 03CH37422)","","","","","","2003","2020-04-07 12:50:35","2020-04-07 12:50:35","","2714–2719","","","2","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\FZX2Q9MP\Batalin and Sukhatme - 2003 - Efficient exploration without localization.pdf; C:\Users\StanS\Zotero\storage\X6BLGQND\1242003.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7N8QSIFC","conferencePaper","2004","Chang, H. Jacky; Lee, CS George; Lu, Yung-Hsiang; Hu, Y. Charlie","Energy-time-efficient adaptive dispatching algorithms for ant-like robot systems","IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA'04. 2004","","","","","","2004","2020-04-07 12:52:00","2020-04-07 12:52:00","","3294–3299","","","4","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\2UWRNF5A\1308762.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIG8F4AF","conferencePaper","2004","Jia, Menglei; Zhou, GuangMing; Chen, ZongHai","An efficient strategy integrating grid and topological information for robot exploration","IEEE Conference on Robotics, Automation and Mechatronics, 2004.","","","","","","2004","2020-04-07 12:52:27","2020-04-07 12:52:27","","667–672","","","2","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\P2CVKIBX\Jia et al. - 2004 - An efficient strategy integrating grid and topolog.pdf; C:\Users\StanS\Zotero\storage\ZUQST7D7\1437998.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3E37MG3H","journalArticle","2002","Raghunathan, Vijay; Schurgers, Curt; Park, Sung; Srivastava, Mani B.","Energy-aware wireless microsensor networks","IEEE Signal processing magazine","","","","","","2002","2020-04-07 14:08:51","2020-04-07 14:08:51","","40–50","","2","19","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\DKT4DIP6\Raghunathan et al. - 2002 - Energy-aware wireless microsensor networks.pdf; C:\Users\StanS\Zotero\storage\GIVJWWJL\985679.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J68AFIYQ","journalArticle","2001","Laughlin, Simon B.","Energy as a constraint on the coding and processing of sensory information","Current opinion in neurobiology","","","","","","2001","2020-04-07 14:12:27","2020-04-07 14:12:27","","475–480","","4","11","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\UITR3AX3\Laughlin - 2001 - Energy as a constraint on the coding and processin.pdf; C:\Users\StanS\Zotero\storage\HDVXSBMI\S0959438800002373.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRQEE557","journalArticle","2017","Hou, Gang; Zhou, Kuanjiu; Qiu, Tie; Cao, Xun; Li, Mingchu; Wang, Jie","A novel green software evaluation model for cloud robotics","Computers & Electrical Engineering","","","","","","2017","2020-04-07 14:13:45","2020-04-07 14:13:45","","139–156","","","63","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\HE85JL9U\S0045790617326848.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DHKQT37C","journalArticle","2014","Magurawalage, Chathura M. Sarathchandra; Yang, Kun; Hu, Liang; Zhang, Jianming","Energy-efficient and network-aware offloading algorithm for mobile cloud computing","Computer Networks","","","","","","2014","2020-04-07 14:14:47","2020-04-07 14:14:47","","22–33","","","74","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\StanS\Zotero\storage\P8MGK2QP\S1389128614003193.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82X96YCJ","journalArticle","2005","Sun, Zheng; Reif, John H.","On finding energy-minimizing paths on terrains","IEEE Transactions on Robotics","","","","","","2005","2020-04-07 14:17:19","2020-04-07 14:17:19","","102–114","","1","21","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\7SFAUVLA\Sun and Reif - 2005 - On finding energy-minimizing paths on terrains.pdf; C:\Users\StanS\Zotero\storage\PV8FBQZQ\1391019.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q59HC2G5","journalArticle","2013","Liu, Shuang; Sun, Dong","Minimizing energy consumption of wheeled mobile robots via optimal motion planning","IEEE/ASME Transactions on Mechatronics","","","","","","2013","2020-04-07 14:17:30","2020-04-07 14:17:30","","401–411","","2","19","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\5I7RJ2X2\6459035.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T27IG94J","journalArticle","2003","Duleba, Ignacy; Sasiadek, Jurek Z.","Nonholonomic motion planning based on Newton algorithm with energy optimization","IEEE transactions on control systems technology","","","","","","2003","2020-04-07 14:17:46","2020-04-07 14:17:46","","355–363","","3","11","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\WQSMC6FE\1197327.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"974ZYICN","journalArticle","2007","Kim, Chong Hui; Kim, Byung Kook","Minimum-energy translational trajectory generation for differential-driven wheeled mobile robots","Journal of Intelligent and Robotic Systems","","","","","","2007","2020-04-07 14:17:57","2020-04-07 14:17:57","","367–383","","4","49","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\StanS\Zotero\storage\7ILG26G4\s10846-007-9142-0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H4E7N98K","journalArticle","2013","Kim, Hongjun; Kim, Byung Kook","Online minimum-energy trajectory planning and control on a straight-line path for three-wheeled omnidirectional mobile robots","IEEE Transactions on industrial electronics","","","","","","2013","2020-04-07 14:18:13","2020-04-07 14:18:13","","4771–4779","","9","61","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\StanS\Zotero\storage\84FBTQE5\6678665.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DE9MGVQ4","conferencePaper","2005","Mei, Yongguo; Lu, Yung-Hsiang; Hu, Y. Charlie; Lee, CS George","A case study of mobile robot's energy consumption and conservation techniques","ICAR'05. Proceedings., 12th International Conference on Advanced Robotics, 2005.","","","","","","2005","2020-04-07 14:19:09","2020-04-07 14:19:09","","492–497","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\StanS\Zotero\storage\TN2EVWEL\Mei et al. - 2005 - A case study of mobile robot's energy consumption .pdf; C:\Users\StanS\Zotero\storage\TKMDCW4A\1507454.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
